case_id,case_type,description,urgency_level,social_impact,past_delays,duration,priority
CASE-1036,Civil,Case related to murder in Civil matters.,6,4,5,466,High
CASE-1037,Traffic,Case related to corporate in Traffic matters.,4,5,5,279,Medium
CASE-1038,Civil,Case related to dispute in Civil matters.,4,4,7,822,Medium
CASE-1039,Civil,Case related to contract in Civil matters.,3,1,8,755,Medium
CASE-1040,Commercial,Case related to rape in Commercial matters.,5,1,5,474,High
CASE-1041,Traffic,Case related to intellectual in Traffic matters.,3,3,8,241,Medium
CASE-1042,Civil,Case related to noise in Civil matters.,2,4,6,538,Low
CASE-1043,Family,Case related to corporate in Family matters.,4,4,0,416,Medium
CASE-1044,Traffic,Case related to threat in Traffic matters.,5,1,7,208,High
CASE-1045,Family,Case related to dispute in Family matters.,3,3,4,383,Medium
CASE-1046,Family,Case related to emergency in Family matters.,5,1,9,270,High
CASE-1047,Civil,Case related to murder in Civil matters.,5,1,9,451,High
CASE-1048,Traffic,Case related to tax in Traffic matters.,4,4,5,280,Medium
CASE-1049,Family,Case related to rape in Family matters.,6,5,3,304,High
CASE-1050,Traffic,Case related to mutual in Traffic matters.,2,4,9,254,Low
CASE-1051,Commercial,Case related to noise in Commercial matters.,1,2,5,633,Low
CASE-1052,Commercial,Case related to contract in Commercial matters.,3,2,2,868,Medium
CASE-1053,Civil,Case related to kidnap in Civil matters.,6,4,7,511,High
CASE-1054,Criminal,Case related to fine in Criminal matters.,2,4,10,563,Low
CASE-1055,Traffic,Case related to permit in Traffic matters.,1,3,10,300,Low
CASE-1056,Civil,Case related to fine in Civil matters.,1,1,6,559,Low
CASE-1057,Commercial,Case related to property in Commercial matters.,4,4,6,958,Medium
CASE-1058,Commercial,Case related to fraud in Commercial matters.,5,1,2,385,High
CASE-1059,Civil,Case related to mutual in Civil matters.,2,5,0,488,Low
CASE-1060,Civil,Case related to corporate in Civil matters.,3,1,5,694,Medium
CASE-1061,Family,Case related to divorce in Family matters.,1,2,2,237,Low
CASE-1062,Criminal,Case related to intellectual in Criminal matters.,4,5,10,740,Medium
CASE-1063,Civil,Case related to intellectual in Civil matters.,4,5,0,708,Medium
CASE-1064,Commercial,Case related to noise in Commercial matters.,1,2,2,612,Low
CASE-1065,Criminal,Case related to emergency in Criminal matters.,5,3,10,432,High
CASE-1066,Criminal,Case related to intellectual in Criminal matters.,3,2,6,585,Medium
CASE-1067,Traffic,Case related to noise in Traffic matters.,2,4,6,274,Low
CASE-1068,Civil,Case related to kidnap in Civil matters.,5,2,8,444,High
CASE-1069,Family,Case related to permit in Family matters.,2,5,5,370,Low
CASE-1070,Commercial,Case related to bail in Commercial matters.,5,1,7,434,High
CASE-1071,Commercial,Case related to divorce in Commercial matters.,1,1,9,678,Low
CASE-1072,Criminal,Case related to intellectual in Criminal matters.,3,2,0,452,Medium
CASE-1073,Criminal,Case related to inheritance in Criminal matters.,4,5,3,586,Medium
CASE-1074,Traffic,Case related to traffic in Traffic matters.,2,4,9,229,Low
CASE-1075,Civil,Case related to merger in Civil matters.,4,5,0,688,Medium
CASE-1076,Family,Case related to tax in Family matters.,3,2,4,399,Medium
CASE-1077,Civil,Case related to medical in Civil matters.,5,1,8,417,High
CASE-1078,Family,Case related to intellectual in Family matters.,3,2,8,443,Medium
CASE-1079,Civil,Case related to divorce in Civil matters.,2,5,9,605,Low
CASE-1080,Commercial,Case related to traffic in Commercial matters.,1,3,10,698,Low
CASE-1081,Civil,Case related to divorce in Civil matters.,1,2,2,511,Low
CASE-1082,Civil,Case related to rape in Civil matters.,5,1,6,430,High
CASE-1083,Commercial,Case related to contract in Commercial matters.,3,3,6,924,Medium
CASE-1084,Commercial,Case related to noise in Commercial matters.,1,2,2,605,Low
CASE-1085,Traffic,Case related to noise in Traffic matters.,1,1,0,127,Low
CASE-1086,Commercial,Case related to divorce in Commercial matters.,1,1,1,501,Low
CASE-1087,Traffic,Case related to contract in Traffic matters.,3,1,5,171,Medium
CASE-1088,Family,Case related to merger in Family matters.,3,1,9,416,Medium
CASE-1089,Family,Case related to contract in Family matters.,3,1,10,453,Medium
CASE-1090,Commercial,Case related to fine in Commercial matters.,2,5,0,641,Low
CASE-1091,Criminal,Case related to fine in Criminal matters.,2,5,8,547,Low
CASE-1092,Family,Case related to bail in Family matters.,5,2,7,255,High
CASE-1093,Family,Case related to kidnap in Family matters.,5,2,6,258,High
CASE-1094,Civil,Case related to fine in Civil matters.,2,4,8,632,Low
CASE-1095,Criminal,Case related to bail in Criminal matters.,5,3,0,304,High
CASE-1096,Traffic,Case related to dispute in Traffic matters.,4,4,3,172,Medium
CASE-1097,Criminal,Case related to rape in Criminal matters.,6,4,1,329,High
CASE-1098,Criminal,Case related to contract in Criminal matters.,3,2,10,592,Medium
CASE-1099,Traffic,Case related to mutual in Traffic matters.,1,2,2,152,Low
CASE-1100,Commercial,Case related to merger in Commercial matters.,4,4,4,849,Medium
CASE-1101,Criminal,Case related to dispute in Criminal matters.,4,5,1,542,Medium
CASE-1102,Civil,Case related to tax in Civil matters.,4,5,3,697,Medium
CASE-1103,Criminal,Case related to rape in Criminal matters.,5,2,1,248,High
CASE-1104,Traffic,Case related to traffic in Traffic matters.,2,5,5,216,Low
CASE-1105,Family,Case related to permit in Family matters.,2,5,3,316,Low
CASE-1106,Traffic,Case related to fine in Traffic matters.,1,1,9,248,Low
CASE-1107,Criminal,Case related to emergency in Criminal matters.,6,4,5,342,High
CASE-1108,Commercial,Case related to divorce in Commercial matters.,1,3,8,648,Low
CASE-1109,Criminal,Case related to protection in Criminal matters.,6,5,10,470,High
CASE-1110,Family,Case related to property in Family matters.,4,5,6,520,Medium
CASE-1111,Criminal,Case related to noise in Criminal matters.,1,2,0,381,Low
CASE-1112,Commercial,Case related to kidnap in Commercial matters.,5,1,4,382,High
CASE-1113,Traffic,Case related to corporate in Traffic matters.,4,5,2,228,Medium
CASE-1114,Traffic,Case related to mutual in Traffic matters.,1,3,9,239,Low
CASE-1115,Family,Case related to license in Family matters.,2,5,9,389,Low
CASE-1116,Commercial,Case related to fraud in Commercial matters.,6,5,2,503,High
CASE-1117,Criminal,Case related to noise in Criminal matters.,1,2,7,459,Low
CASE-1118,Family,Case related to protection in Family matters.,5,2,8,268,High
CASE-1119,Criminal,Case related to fine in Criminal matters.,1,1,10,486,Low
CASE-1120,Family,Case related to protection in Family matters.,6,5,3,323,High
CASE-1121,Commercial,Case related to dispute in Commercial matters.,4,5,0,841,Medium
CASE-1122,Criminal,Case related to fine in Criminal matters.,2,4,0,350,Low
CASE-1123,Family,Case related to corporate in Family matters.,3,2,6,457,Medium
CASE-1124,Criminal,Case related to mutual in Criminal matters.,2,5,9,533,Low
CASE-1125,Family,Case related to intellectual in Family matters.,4,5,7,495,Medium
CASE-1126,Family,Case related to permit in Family matters.,2,5,7,373,Low
CASE-1127,Family,Case related to contract in Family matters.,4,5,1,400,Medium
CASE-1128,Civil,Case related to inheritance in Civil matters.,3,1,5,715,Medium
CASE-1129,Traffic,Case related to dispute in Traffic matters.,4,4,8,249,Medium
CASE-1130,Family,Case related to rape in Family matters.,5,1,3,244,High
CASE-1131,Family,Case related to noise in Family matters.,1,1,1,240,Low
CASE-1132,Civil,Case related to traffic in Civil matters.,2,4,7,554,Low
CASE-1133,Family,Case related to dispute in Family matters.,4,4,10,521,Medium
CASE-1134,Criminal,Case related to dispute in Criminal matters.,4,5,1,613,Medium
CASE-1135,Civil,Case related to license in Civil matters.,1,2,2,483,Low
CASE-1136,Family,Case related to mutual in Family matters.,1,3,0,228,Low
CASE-1137,Commercial,Case related to bail in Commercial matters.,5,2,7,461,High
CASE-1138,Civil,Case related to inheritance in Civil matters.,4,5,6,839,Medium
CASE-1139,Civil,Case related to medical in Civil matters.,6,5,0,350,High
CASE-1140,Family,Case related to property in Family matters.,3,2,8,440,Medium
CASE-1141,Criminal,Case related to medical in Criminal matters.,5,1,10,400,High
CASE-1142,Commercial,Case related to dispute in Commercial matters.,4,4,3,873,Medium
CASE-1143,Criminal,Case related to contract in Criminal matters.,3,3,9,609,Medium
CASE-1144,Civil,Case related to protection in Civil matters.,5,3,10,460,High
CASE-1145,Commercial,Case related to inheritance in Commercial matters.,3,2,5,899,Medium
CASE-1146,Civil,Case related to threat in Civil matters.,5,3,1,364,High
CASE-1147,Civil,Case related to permit in Civil matters.,2,4,4,571,Low
CASE-1148,Criminal,Case related to contract in Criminal matters.,3,3,1,527,Medium
CASE-1149,Family,Case related to fine in Family matters.,2,4,1,254,Low
CASE-1150,Commercial,Case related to property in Commercial matters.,3,3,4,827,Medium
CASE-1151,Traffic,Case related to traffic in Traffic matters.,2,4,0,116,Low
CASE-1152,Traffic,Case related to inheritance in Traffic matters.,4,4,3,208,Medium
CASE-1153,Commercial,Case related to property in Commercial matters.,4,5,9,992,Medium
CASE-1154,Traffic,Case related to rape in Traffic matters.,6,5,6,203,High
CASE-1155,Commercial,Case related to fine in Commercial matters.,2,5,6,671,Low
CASE-1156,Commercial,Case related to murder in Commercial matters.,5,1,0,392,High
CASE-1157,Civil,Case related to fine in Civil matters.,1,2,1,417,Low
CASE-1158,Family,Case related to murder in Family matters.,5,1,9,316,High
CASE-1159,Commercial,Case related to corporate in Commercial matters.,3,3,0,770,Medium
CASE-1160,Commercial,Case related to murder in Commercial matters.,6,4,1,406,High
CASE-1161,Criminal,Case related to tax in Criminal matters.,3,3,2,502,Medium
CASE-1162,Criminal,Case related to inheritance in Criminal matters.,3,2,6,610,Medium
CASE-1163,Commercial,Case related to mutual in Commercial matters.,2,5,10,748,Low
CASE-1164,Traffic,Case related to license in Traffic matters.,1,3,1,156,Low
CASE-1165,Civil,Case related to emergency in Civil matters.,6,5,2,431,High
CASE-1166,Traffic,Case related to fine in Traffic matters.,1,1,7,234,Low
CASE-1167,Commercial,Case related to property in Commercial matters.,3,2,9,950,Medium
CASE-1168,Civil,Case related to threat in Civil matters.,5,3,7,471,High
CASE-1169,Family,Case related to corporate in Family matters.,4,4,9,514,Medium
CASE-1170,Traffic,Case related to contract in Traffic matters.,3,3,10,250,Medium
CASE-1171,Civil,Case related to fraud in Civil matters.,5,3,10,525,High
CASE-1172,Criminal,Case related to inheritance in Criminal matters.,4,5,7,635,Medium
CASE-1173,Civil,Case related to property in Civil matters.,3,3,9,793,Medium
CASE-1174,Commercial,Case related to contract in Commercial matters.,4,4,5,907,Medium
CASE-1175,Family,Case related to property in Family matters.,4,4,2,397,Medium
CASE-1176,Civil,Case related to intellectual in Civil matters.,3,1,5,650,Medium
CASE-1177,Commercial,Case related to murder in Commercial matters.,5,2,7,543,High
CASE-1178,Family,Case related to fraud in Family matters.,5,3,5,288,High
CASE-1179,Traffic,Case related to permit in Traffic matters.,1,1,7,223,Low
CASE-1180,Civil,Case related to emergency in Civil matters.,6,4,5,410,High
CASE-1181,Civil,Case related to kidnap in Civil matters.,5,1,0,250,High
CASE-1182,Civil,Case related to fraud in Civil matters.,6,4,10,518,High
CASE-1183,Family,Case related to dispute in Family matters.,3,3,5,450,Medium
CASE-1184,Criminal,Case related to divorce in Criminal matters.,1,3,7,465,Low
CASE-1185,Criminal,Case related to dispute in Criminal matters.,4,5,9,704,Medium
CASE-1186,Civil,Case related to emergency in Civil matters.,5,3,0,358,High
CASE-1187,Family,Case related to dispute in Family matters.,3,3,4,462,Medium
CASE-1188,Civil,Case related to divorce in Civil matters.,1,2,8,559,Low
CASE-1189,Family,Case related to intellectual in Family matters.,3,1,8,399,Medium
CASE-1190,Criminal,Case related to traffic in Criminal matters.,1,3,2,402,Low
CASE-1191,Criminal,Case related to corporate in Criminal matters.,3,1,5,506,Medium
CASE-1192,Civil,Case related to merger in Civil matters.,4,4,3,724,Medium
CASE-1193,Criminal,Case related to fine in Criminal matters.,1,3,0,326,Low
CASE-1194,Traffic,Case related to tax in Traffic matters.,3,3,7,235,Medium
CASE-1195,Family,Case related to corporate in Family matters.,4,5,9,578,Medium
CASE-1196,Traffic,Case related to kidnap in Traffic matters.,6,5,0,167,High
CASE-1197,Criminal,Case related to mutual in Criminal matters.,1,1,0,293,Low
CASE-1198,Criminal,Case related to protection in Criminal matters.,6,5,1,309,High
CASE-1199,Traffic,Case related to corporate in Traffic matters.,3,2,8,246,Medium
CASE-1200,Civil,Case related to bail in Civil matters.,6,5,3,399,High
CASE-1201,Traffic,Case related to inheritance in Traffic matters.,3,3,0,169,Medium
CASE-1202,Family,Case related to traffic in Family matters.,1,2,6,302,Low
CASE-1203,Traffic,Case related to noise in Traffic matters.,2,4,3,150,Low
CASE-1204,Criminal,Case related to intellectual in Criminal matters.,4,5,6,684,Medium
CASE-1205,Criminal,Case related to corporate in Criminal matters.,3,2,9,675,Medium
CASE-1206,Commercial,Case related to intellectual in Commercial matters.,3,3,6,931,Medium
CASE-1207,Criminal,Case related to medical in Criminal matters.,5,2,2,303,High
CASE-1208,Criminal,Case related to license in Criminal matters.,2,4,7,505,Low
CASE-1209,Civil,Case related to traffic in Civil matters.,1,3,1,435,Low
CASE-1210,Criminal,Case related to contract in Criminal matters.,4,4,8,681,Medium
CASE-1211,Criminal,Case related to rape in Criminal matters.,6,5,4,323,High
CASE-1212,Commercial,Case related to divorce in Commercial matters.,2,4,2,627,Low
CASE-1213,Family,Case related to murder in Family matters.,5,3,8,277,High
CASE-1214,Civil,Case related to kidnap in Civil matters.,5,2,0,342,High
CASE-1215,Traffic,Case related to merger in Traffic matters.,3,3,3,230,Medium
CASE-1216,Civil,Case related to rape in Civil matters.,5,1,7,394,High
CASE-1217,Traffic,Case related to fine in Traffic matters.,1,1,8,225,Low
CASE-1218,Traffic,Case related to corporate in Traffic matters.,4,5,7,341,Medium
CASE-1219,Criminal,Case related to contract in Criminal matters.,4,5,6,690,Medium
CASE-1220,Commercial,Case related to bail in Commercial matters.,6,5,5,488,High
CASE-1221,Criminal,Case related to permit in Criminal matters.,1,3,7,477,Low
CASE-1222,Commercial,Case related to murder in Commercial matters.,5,3,6,511,High
CASE-1223,Traffic,Case related to threat in Traffic matters.,6,5,6,226,High
CASE-1224,Civil,Case related to license in Civil matters.,1,1,2,466,Low
CASE-1225,Commercial,Case related to license in Commercial matters.,1,1,4,599,Low
CASE-1226,Traffic,Case related to property in Traffic matters.,4,4,4,221,Medium
CASE-1227,Criminal,Case related to permit in Criminal matters.,1,1,10,461,Low
CASE-1228,Commercial,Case related to intellectual in Commercial matters.,3,3,10,999,Medium
CASE-1229,Family,Case related to bail in Family matters.,6,5,1,217,High
CASE-1230,Commercial,Case related to noise in Commercial matters.,2,5,4,636,Low
CASE-1231,Family,Case related to protection in Family matters.,5,3,5,308,High
CASE-1232,Commercial,Case related to merger in Commercial matters.,3,1,8,851,Medium
CASE-1233,Traffic,Case related to traffic in Traffic matters.,1,2,10,280,Low
CASE-1234,Traffic,Case related to corporate in Traffic matters.,3,1,1,104,Medium
CASE-1235,Criminal,Case related to property in Criminal matters.,3,2,8,574,Medium
CASE-1236,Family,Case related to inheritance in Family matters.,3,2,5,365,Medium
CASE-1237,Civil,Case related to mutual in Civil matters.,1,2,1,436,Low
CASE-1238,Criminal,Case related to divorce in Criminal matters.,2,4,1,407,Low
CASE-1239,Traffic,Case related to corporate in Traffic matters.,3,3,5,221,Medium
CASE-1240,Traffic,Case related to license in Traffic matters.,2,5,10,279,Low
CASE-1241,Family,Case related to noise in Family matters.,1,2,8,387,Low
CASE-1242,Civil,Case related to permit in Civil matters.,1,2,3,507,Low
CASE-1243,Commercial,Case related to mutual in Commercial matters.,2,5,9,698,Low
CASE-1244,Family,Case related to noise in Family matters.,1,3,10,371,Low
CASE-1245,Criminal,Case related to fraud in Criminal matters.,5,3,5,392,High
CASE-1246,Family,Case related to murder in Family matters.,5,3,8,323,High
CASE-1247,Traffic,Case related to property in Traffic matters.,3,1,3,156,Medium
CASE-1248,Civil,Case related to license in Civil matters.,1,1,8,539,Low
CASE-1249,Traffic,Case related to permit in Traffic matters.,2,5,5,249,Low
CASE-1250,Civil,Case related to property in Civil matters.,4,5,3,750,Medium
CASE-1251,Civil,Case related to mutual in Civil matters.,1,2,8,574,Low
CASE-1252,Family,Case related to bail in Family matters.,6,4,2,233,High
CASE-1253,Family,Case related to noise in Family matters.,2,5,9,432,Low
CASE-1254,Civil,Case related to fraud in Civil matters.,5,2,1,385,High
CASE-1255,Criminal,Case related to traffic in Criminal matters.,2,5,4,490,Low
CASE-1256,Family,Case related to traffic in Family matters.,1,3,10,363,Low
CASE-1257,Civil,Case related to kidnap in Civil matters.,6,4,6,414,High
CASE-1258,Criminal,Case related to kidnap in Criminal matters.,5,2,6,380,High
CASE-1259,Criminal,Case related to medical in Criminal matters.,5,3,1,254,High
CASE-1260,Commercial,Case related to dispute in Commercial matters.,4,5,1,880,Medium
CASE-1261,Criminal,Case related to medical in Criminal matters.,5,1,4,305,High
CASE-1262,Traffic,Case related to dispute in Traffic matters.,4,4,1,190,Medium
CASE-1263,Civil,Case related to contract in Civil matters.,4,4,1,662,Medium
CASE-1264,Traffic,Case related to mutual in Traffic matters.,1,3,10,258,Low
CASE-1265,Commercial,Case related to emergency in Commercial matters.,5,2,2,437,High
CASE-1266,Traffic,Case related to merger in Traffic matters.,3,3,5,200,Medium
CASE-1267,Traffic,Case related to protection in Traffic matters.,5,3,2,156,High
CASE-1268,Commercial,Case related to emergency in Commercial matters.,5,2,10,504,High
CASE-1269,Criminal,Case related to tax in Criminal matters.,4,4,3,563,Medium
CASE-1270,Family,Case related to dispute in Family matters.,3,1,0,278,Medium
CASE-1271,Family,Case related to inheritance in Family matters.,3,1,4,381,Medium
CASE-1272,Family,Case related to merger in Family matters.,4,5,9,556,Medium
CASE-1273,Criminal,Case related to merger in Criminal matters.,3,1,3,493,Medium
CASE-1274,Criminal,Case related to license in Criminal matters.,1,2,6,422,Low
CASE-1275,Criminal,Case related to fraud in Criminal matters.,5,1,0,180,High
CASE-1276,Criminal,Case related to inheritance in Criminal matters.,4,5,0,581,Medium
CASE-1277,Criminal,Case related to permit in Criminal matters.,1,2,3,422,Low
CASE-1278,Criminal,Case related to traffic in Criminal matters.,1,3,7,453,Low
CASE-1279,Civil,Case related to license in Civil matters.,1,3,9,571,Low
CASE-1280,Civil,Case related to traffic in Civil matters.,1,2,0,478,Low
CASE-1281,Civil,Case related to contract in Civil matters.,3,1,3,678,Medium
CASE-1282,Family,Case related to fraud in Family matters.,5,2,7,279,High
CASE-1283,Traffic,Case related to intellectual in Traffic matters.,3,1,0,156,Medium
CASE-1284,Family,Case related to divorce in Family matters.,1,3,5,311,Low
CASE-1285,Civil,Case related to fraud in Civil matters.,6,5,10,529,High
CASE-1286,Criminal,Case related to license in Criminal matters.,2,4,8,485,Low
CASE-1287,Civil,Case related to protection in Civil matters.,6,5,1,418,High
CASE-1288,Civil,Case related to medical in Civil matters.,5,2,0,370,High
CASE-1289,Commercial,Case related to merger in Commercial matters.,3,3,4,893,Medium
CASE-1290,Civil,Case related to divorce in Civil matters.,2,4,6,580,Low
CASE-1291,Criminal,Case related to dispute in Criminal matters.,3,2,3,550,Medium
CASE-1292,Criminal,Case related to inheritance in Criminal matters.,3,1,9,589,Medium
CASE-1293,Family,Case related to threat in Family matters.,5,1,5,197,High
CASE-1294,Traffic,Case related to merger in Traffic matters.,3,3,5,210,Medium
CASE-1295,Criminal,Case related to kidnap in Criminal matters.,5,2,7,326,High
CASE-1296,Family,Case related to mutual in Family matters.,1,1,8,351,Low
CASE-1297,Civil,Case related to license in Civil matters.,2,4,9,566,Low
CASE-1298,Commercial,Case related to property in Commercial matters.,4,4,9,945,Medium
CASE-1299,Civil,Case related to tax in Civil matters.,4,5,9,816,Medium
CASE-1300,Commercial,Case related to noise in Commercial matters.,1,2,1,556,Low
CASE-1301,Commercial,Case related to traffic in Commercial matters.,2,4,10,683,Low
CASE-1302,Family,Case related to property in Family matters.,3,2,2,346,Medium
CASE-1303,Traffic,Case related to emergency in Traffic matters.,5,3,2,150,High
CASE-1304,Civil,Case related to emergency in Civil matters.,5,3,9,511,High
CASE-1305,Criminal,Case related to license in Criminal matters.,2,4,8,477,Low
CASE-1306,Family,Case related to protection in Family matters.,6,4,1,248,High
CASE-1307,Commercial,Case related to murder in Commercial matters.,6,4,9,539,High
CASE-1308,Family,Case related to divorce in Family matters.,2,5,1,307,Low
CASE-1309,Civil,Case related to merger in Civil matters.,3,2,9,784,Medium
CASE-1310,Traffic,Case related to permit in Traffic matters.,1,1,5,204,Low
CASE-1311,Family,Case related to contract in Family matters.,4,4,3,412,Medium
CASE-1312,Traffic,Case related to tax in Traffic matters.,3,2,7,203,Medium
CASE-1313,Family,Case related to mutual in Family matters.,1,2,1,245,Low
CASE-1314,Civil,Case related to threat in Civil matters.,5,3,1,388,High
CASE-1315,Family,Case related to traffic in Family matters.,2,5,5,350,Low
CASE-1316,Traffic,Case related to divorce in Traffic matters.,1,1,6,212,Low
CASE-1317,Traffic,Case related to dispute in Traffic matters.,4,4,1,161,Medium
CASE-1318,Traffic,Case related to traffic in Traffic matters.,1,1,9,225,Low
CASE-1319,Family,Case related to license in Family matters.,2,4,10,427,Low
CASE-1320,Civil,Case related to license in Civil matters.,1,1,8,555,Low
CASE-1321,Criminal,Case related to traffic in Criminal matters.,1,2,4,444,Low
CASE-1322,Traffic,Case related to rape in Traffic matters.,6,4,1,105,High
CASE-1323,Civil,Case related to merger in Civil matters.,4,4,3,762,Medium
CASE-1324,Civil,Case related to murder in Civil matters.,5,2,7,437,High
CASE-1325,Criminal,Case related to emergency in Criminal matters.,6,5,4,384,High
CASE-1326,Criminal,Case related to license in Criminal matters.,1,3,10,464,Low
CASE-1327,Family,Case related to noise in Family matters.,1,1,4,328,Low
CASE-1328,Commercial,Case related to inheritance in Commercial matters.,3,3,0,773,Medium
CASE-1329,Criminal,Case related to noise in Criminal matters.,2,4,8,535,Low
CASE-1330,Criminal,Case related to noise in Criminal matters.,1,3,8,512,Low
CASE-1331,Traffic,Case related to fraud in Traffic matters.,5,3,3,107,High
CASE-1332,Criminal,Case related to noise in Criminal matters.,1,2,8,435,Low
CASE-1333,Family,Case related to kidnap in Family matters.,6,4,7,351,High
CASE-1334,Family,Case related to medical in Family matters.,6,4,1,192,High
CASE-1335,Family,Case related to dispute in Family matters.,4,4,4,489,Medium
CASE-1336,Civil,Case related to fine in Civil matters.,1,3,5,559,Low
CASE-1337,Criminal,Case related to noise in Criminal matters.,1,3,7,459,Low
CASE-1338,Family,Case related to merger in Family matters.,4,4,2,428,Medium
CASE-1339,Civil,Case related to medical in Civil matters.,6,4,10,503,High
CASE-1340,Family,Case related to dispute in Family matters.,3,3,9,448,Medium
CASE-1341,Civil,Case related to emergency in Civil matters.,5,3,8,502,High
CASE-1342,Family,Case related to fine in Family matters.,2,4,2,357,Low
CASE-1343,Commercial,Case related to inheritance in Commercial matters.,3,2,8,926,Medium
CASE-1344,Family,Case related to fine in Family matters.,1,2,3,283,Low
CASE-1345,Commercial,Case related to kidnap in Commercial matters.,5,3,1,408,High
CASE-1346,Civil,Case related to protection in Civil matters.,6,4,7,415,High
CASE-1347,Commercial,Case related to contract in Commercial matters.,3,1,8,898,Medium
CASE-1348,Civil,Case related to license in Civil matters.,2,4,8,555,Low
CASE-1349,Commercial,Case related to traffic in Commercial matters.,1,3,7,689,Low
CASE-1350,Family,Case related to license in Family matters.,1,2,1,245,Low
CASE-1351,Criminal,Case related to license in Criminal matters.,2,5,8,497,Low
CASE-1352,Family,Case related to contract in Family matters.,3,3,10,531,Medium
CASE-1353,Criminal,Case related to noise in Criminal matters.,2,5,4,443,Low
CASE-1354,Family,Case related to intellectual in Family matters.,3,3,6,459,Medium
CASE-1355,Family,Case related to mutual in Family matters.,1,1,6,315,Low
CASE-1356,Civil,Case related to bail in Civil matters.,5,1,1,275,High
CASE-1357,Family,Case related to medical in Family matters.,6,5,0,255,High
CASE-1358,Traffic,Case related to dispute in Traffic matters.,3,3,5,214,Medium
CASE-1359,Criminal,Case related to rape in Criminal matters.,5,2,8,419,High
CASE-1360,Civil,Case related to emergency in Civil matters.,5,2,1,319,High
CASE-1361,Traffic,Case related to murder in Traffic matters.,5,2,8,161,High
CASE-1362,Traffic,Case related to permit in Traffic matters.,2,5,2,196,Low
CASE-1363,Traffic,Case related to license in Traffic matters.,2,4,4,179,Low
CASE-1364,Civil,Case related to medical in Civil matters.,5,1,9,408,High
CASE-1365,Commercial,Case related to fine in Commercial matters.,1,1,10,704,Low
CASE-1366,Traffic,Case related to corporate in Traffic matters.,3,1,8,250,Medium
CASE-1367,Traffic,Case related to property in Traffic matters.,3,1,0,96,Medium
CASE-1368,Criminal,Case related to protection in Criminal matters.,5,2,5,334,High
CASE-1369,Criminal,Case related to permit in Criminal matters.,2,4,8,540,Low
CASE-1370,Commercial,Case related to corporate in Commercial matters.,4,4,6,885,Medium
CASE-1371,Civil,Case related to fraud in Civil matters.,5,1,2,375,High
CASE-1372,Criminal,Case related to fraud in Criminal matters.,5,2,2,277,High
CASE-1373,Family,Case related to divorce in Family matters.,1,2,0,272,Low
