case_id,case_type,category,case_age_days,urgency,filing_date,duration,priority,status
CASE-2026-1029,Criminal,Financial,2724,3,2018-10-12,429,High,Pending
CASE-2026-1030,Traffic,Personal,1137,1,2023-02-15,91,Medium,Pending
CASE-2026-1031,Family,Public Interest,3377,5,2016-12-28,363,High,Resolved
CASE-2026-1032,Traffic,Financial,3649,5,2016-03-31,73,High,Pending
CASE-2026-1033,Civil,Routine,1775,4,2021-05-18,413,High,Resolved
CASE-2026-1034,Civil,High Stakes,1449,4,2022-04-09,698,High,Pending
CASE-2026-1035,Family,Public Interest,1840,3,2021-03-14,361,Medium,Pending
CASE-2026-1036,Family,Routine,3477,5,2016-09-19,172,High,Resolved
CASE-2026-1037,Commercial,High Stakes,3404,4,2016-12-01,752,High,Pending
CASE-2026-1038,Civil,Routine,845,1,2023-12-04,384,Low,Resolved
CASE-2026-1039,Civil,Financial,959,2,2023-08-12,605,Medium,Pending
CASE-2026-1040,Family,Financial,60,3,2026-01-27,459,Medium,Pending
CASE-2026-1041,Traffic,Financial,2860,4,2018-05-29,57,High,Pending
CASE-2026-1042,Family,Routine,217,1,2025-08-23,244,Low,Pending
CASE-2026-1043,Family,Financial,2075,4,2020-07-22,339,High,Pending
CASE-2026-1044,Family,High Stakes,597,4,2024-08-08,555,High,Pending
CASE-2026-1045,Criminal,Financial,983,3,2023-07-19,503,High,Pending
CASE-2026-1046,Commercial,Public Interest,1433,1,2022-04-25,646,Medium,Pending
CASE-2026-1047,Criminal,Personal,3374,4,2016-12-31,307,High,Pending
CASE-2026-1048,Family,Personal,3280,4,2017-04-04,258,High,Pending
CASE-2026-1049,Criminal,Public Interest,719,3,2024-04-08,502,High,Pending
CASE-2026-1050,Commercial,Routine,1294,3,2022-09-11,467,Medium,Pending
CASE-2026-1051,Civil,Routine,1417,5,2022-05-11,480,High,Pending
CASE-2026-1052,Family,Personal,1918,4,2020-12-26,295,High,Pending
CASE-2026-1053,Criminal,Personal,199,3,2025-09-10,455,High,Pending
CASE-2026-1054,Commercial,Routine,2498,5,2019-05-26,495,High,Pending
CASE-2026-1055,Criminal,Financial,3567,4,2016-06-21,415,High,Pending
CASE-2026-1056,Civil,Personal,1685,5,2021-08-16,478,High,Pending
CASE-2026-1057,Civil,Personal,1132,2,2023-02-20,457,Medium,Pending
CASE-2026-1058,Traffic,Public Interest,1128,2,2023-02-24,97,Medium,Pending
CASE-2026-1059,Family,Financial,2512,2,2019-05-12,274,High,Pending
CASE-2026-1060,Civil,Routine,1125,1,2023-02-27,415,Medium,Pending
CASE-2026-1061,Family,Routine,1306,1,2022-08-30,250,Medium,Resolved
CASE-2026-1062,Civil,Public Interest,2717,2,2018-10-19,501,High,Pending
CASE-2026-1063,Civil,High Stakes,625,1,2024-07-11,732,Low,Pending
CASE-2026-1064,Traffic,Routine,2619,4,2019-01-25,110,High,Pending
CASE-2026-1065,Commercial,Personal,416,2,2025-02-05,572,Medium,Resolved
CASE-2026-1066,Traffic,Personal,3597,2,2016-05-22,30,High,Pending
CASE-2026-1067,Commercial,High Stakes,2071,5,2020-07-26,856,High,Resolved
CASE-2026-1068,Family,Personal,1844,5,2021-03-10,333,High,Pending
CASE-2026-1069,Commercial,High Stakes,1672,1,2021-08-29,829,Medium,Pending
CASE-2026-1070,Family,Public Interest,3389,4,2016-12-16,285,High,Pending
CASE-2026-1071,Traffic,Financial,3086,2,2017-10-15,30,High,Pending
CASE-2026-1072,Criminal,Financial,3450,5,2016-10-16,403,High,Pending
CASE-2026-1073,Family,High Stakes,2076,2,2020-07-21,374,Medium,Resolved
CASE-2026-1074,Family,Routine,1369,5,2022-06-28,301,High,Resolved
CASE-2026-1075,Traffic,Public Interest,59,1,2026-01-28,125,Low,Pending
CASE-2026-1076,Civil,Personal,3174,5,2017-07-19,394,High,Pending
CASE-2026-1077,Traffic,Financial,1769,5,2021-05-24,151,High,Pending
CASE-2026-1078,Commercial,Personal,1209,4,2022-12-05,597,High,Pending
CASE-2026-1079,Civil,Public Interest,2121,2,2020-06-06,542,Medium,Pending
CASE-2026-1080,Commercial,High Stakes,1520,5,2022-01-28,872,High,Pending
CASE-2026-1081,Civil,Routine,3489,5,2016-09-07,367,High,Pending
CASE-2026-1082,Criminal,Routine,1718,3,2021-07-14,287,High,Pending
CASE-2026-1083,Traffic,Financial,347,1,2025-04-15,80,Low,Pending
CASE-2026-1084,Civil,Routine,2966,3,2018-02-12,328,High,Pending
CASE-2026-1085,Criminal,High Stakes,3145,5,2017-08-17,591,High,Pending
CASE-2026-1086,Commercial,Public Interest,3325,4,2017-02-18,646,High,Pending
CASE-2026-1087,Criminal,Personal,3402,4,2016-12-03,304,High,Pending
CASE-2026-1088,Civil,Routine,3432,3,2016-11-03,326,High,Resolved
CASE-2026-1089,Family,Personal,792,3,2024-01-26,292,Medium,Pending
CASE-2026-1090,Traffic,Financial,962,3,2023-08-09,123,Medium,Pending
CASE-2026-1091,Traffic,Financial,1576,2,2021-12-03,78,Medium,Pending
CASE-2026-1092,Criminal,Personal,885,4,2023-10-25,423,High,Pending
CASE-2026-1093,Traffic,High Stakes,3329,5,2017-02-14,100,High,Pending
CASE-2026-1094,Traffic,Personal,1082,1,2023-04-11,84,Medium,Pending
CASE-2026-1095,Commercial,Financial,49,1,2026-02-07,660,Low,Resolved
CASE-2026-1096,Family,High Stakes,1104,2,2023-03-20,448,Medium,Pending
CASE-2026-1097,Traffic,High Stakes,3078,5,2017-10-23,118,High,Pending
CASE-2026-1098,Criminal,Personal,2080,4,2020-07-17,331,High,Pending
CASE-2026-1099,Traffic,Routine,1747,4,2021-06-15,110,High,Pending
CASE-2026-1100,Traffic,Financial,1664,2,2021-09-06,43,Medium,Resolved
CASE-2026-1101,Commercial,High Stakes,2614,5,2019-01-30,883,High,Pending
CASE-2026-1102,Civil,Personal,3075,2,2017-10-26,390,High,Pending
CASE-2026-1103,Commercial,High Stakes,1812,1,2021-04-11,749,Medium,Pending
CASE-2026-1104,Criminal,Personal,2391,3,2019-09-10,352,High,Pending
CASE-2026-1105,Criminal,Financial,901,4,2023-10-09,544,High,Pending
CASE-2026-1106,Traffic,High Stakes,1203,1,2022-12-11,80,Medium,Pending
CASE-2026-1107,Family,Personal,2272,5,2020-01-07,275,High,Resolved
CASE-2026-1108,Criminal,Public Interest,1100,3,2023-03-24,513,High,Pending
CASE-2026-1109,Traffic,Personal,1088,4,2023-04-05,142,High,Pending
CASE-2026-1110,Criminal,Public Interest,370,3,2025-03-23,522,High,Pending
CASE-2026-1111,Traffic,High Stakes,1309,2,2022-08-27,152,Medium,Resolved
CASE-2026-1112,Traffic,High Stakes,2163,2,2020-04-25,111,Medium,Pending
CASE-2026-1113,Civil,Personal,856,3,2023-11-23,499,Medium,Pending
CASE-2026-1114,Civil,Personal,2421,4,2019-08-11,436,High,Pending
CASE-2026-1115,Family,Personal,1630,2,2021-10-10,292,Medium,Pending
CASE-2026-1116,Commercial,High Stakes,2549,5,2019-04-05,873,High,Pending
CASE-2026-1117,Traffic,High Stakes,2760,2,2018-09-06,30,High,Pending
CASE-2026-1118,Commercial,High Stakes,62,2,2026-01-25,876,Medium,Pending
CASE-2026-1119,Family,Public Interest,2128,3,2020-05-30,294,Medium,Pending
CASE-2026-1120,Family,Public Interest,187,2,2025-09-22,375,Medium,Resolved
CASE-2026-1121,Criminal,Routine,475,2,2024-12-08,400,Medium,Pending
CASE-2026-1122,Commercial,Financial,243,5,2025-07-28,817,High,Pending
CASE-2026-1123,Family,Public Interest,1707,3,2021-07-25,396,Medium,Pending
CASE-2026-1124,Family,Personal,2186,5,2020-04-02,304,High,Pending
CASE-2026-1125,Family,Routine,1144,4,2023-02-08,347,High,Pending
CASE-2026-1126,Family,Financial,3025,5,2017-12-15,358,High,Resolved
CASE-2026-1127,Commercial,Personal,1969,3,2020-11-05,520,Medium,Pending
CASE-2026-1128,Commercial,Routine,1709,1,2021-07-23,466,Medium,Pending
CASE-2026-1129,Criminal,Personal,422,2,2025-01-30,393,Medium,Pending
CASE-2026-1130,Civil,Public Interest,394,5,2025-02-27,754,High,Pending
CASE-2026-1131,Civil,High Stakes,2041,5,2020-08-25,715,High,Pending
CASE-2026-1132,Criminal,High Stakes,2295,3,2019-12-15,561,High,Resolved
CASE-2026-1133,Family,Routine,2455,3,2019-07-08,194,Medium,Resolved
CASE-2026-1134,Criminal,Financial,2186,3,2020-04-02,469,High,Pending
CASE-2026-1135,Criminal,High Stakes,1768,2,2021-05-25,573,Medium,Pending
CASE-2026-1136,Civil,Personal,951,5,2023-08-20,564,High,Resolved
CASE-2026-1137,Criminal,Personal,1762,3,2021-05-31,324,High,Pending
CASE-2026-1138,Family,Financial,3076,4,2017-10-25,345,High,Pending
CASE-2026-1139,Traffic,Financial,3340,2,2017-02-03,30,High,Pending
CASE-2026-1140,Family,Routine,3348,3,2017-01-26,133,High,Pending
CASE-2026-1141,Traffic,Financial,2835,4,2018-06-23,72,High,Pending
CASE-2026-1142,Family,Personal,780,3,2024-02-07,279,Medium,Pending
CASE-2026-1143,Traffic,Routine,411,4,2025-02-10,131,High,Resolved
CASE-2026-1144,Criminal,Public Interest,3062,5,2017-11-08,503,High,Resolved
CASE-2026-1145,Traffic,Routine,590,2,2024-08-15,89,Medium,Pending
CASE-2026-1146,Criminal,Personal,2358,4,2019-10-13,327,High,Pending
CASE-2026-1147,Criminal,Personal,279,5,2025-06-22,486,High,Pending
CASE-2026-1148,Civil,Routine,1743,4,2021-06-19,436,High,Pending
CASE-2026-1149,Commercial,Routine,540,1,2024-10-04,516,Low,Pending
CASE-2026-1150,Traffic,Routine,2005,5,2020-09-30,109,High,Pending
CASE-2026-1151,Commercial,Personal,1441,1,2022-04-17,451,Medium,Resolved
CASE-2026-1152,Criminal,High Stakes,1177,5,2023-01-06,667,High,Resolved
CASE-2026-1153,Family,High Stakes,2771,5,2018-08-26,432,High,Pending
CASE-2026-1154,Civil,High Stakes,3235,2,2017-05-19,561,High,Pending
CASE-2026-1155,Criminal,High Stakes,1214,2,2022-11-30,569,Medium,Pending
CASE-2026-1156,Family,Financial,777,4,2024-02-10,443,High,Pending
CASE-2026-1157,Traffic,Financial,1403,4,2022-05-25,165,High,Resolved
CASE-2026-1158,Criminal,Financial,1456,3,2022-04-02,506,High,Pending
CASE-2026-1159,Criminal,Personal,1576,5,2021-12-03,477,High,Pending
CASE-2026-1160,Family,High Stakes,1489,4,2022-02-28,473,High,Pending
CASE-2026-1161,Civil,High Stakes,2377,2,2019-09-24,617,Medium,Pending
CASE-2026-1162,Criminal,Financial,2504,5,2019-05-20,481,High,Pending
CASE-2026-1163,Family,Public Interest,3476,5,2016-09-20,316,High,Pending
CASE-2026-1164,Traffic,Personal,1466,5,2022-03-23,154,High,Pending
CASE-2026-1165,Family,Public Interest,3458,5,2016-10-08,381,High,Pending
CASE-2026-1166,Criminal,Routine,1024,2,2023-06-08,373,Medium,Resolved
CASE-2026-1167,Commercial,High Stakes,1555,2,2021-12-24,782,Medium,Resolved
CASE-2026-1168,Civil,Personal,1726,1,2021-07-06,434,Medium,Resolved
CASE-2026-1169,Traffic,Personal,1760,5,2021-06-02,94,High,Pending
CASE-2026-1170,Criminal,Routine,3114,4,2017-09-17,333,High,Pending
CASE-2026-1171,Criminal,Financial,293,5,2025-06-08,567,High,Pending
CASE-2026-1172,Civil,Public Interest,2608,2,2019-02-05,554,High,Pending
CASE-2026-1173,Family,Routine,1842,2,2021-03-12,235,Medium,Pending
CASE-2026-1174,Civil,Public Interest,3175,4,2017-07-18,543,High,Pending
CASE-2026-1175,Commercial,Personal,3243,5,2017-05-11,550,High,Pending
CASE-2026-1176,Criminal,Public Interest,2860,4,2018-05-29,486,High,Pending
CASE-2026-1177,Traffic,Public Interest,1112,1,2023-03-12,127,Medium,Pending
CASE-2026-1178,Family,Personal,2848,5,2018-06-10,258,High,Pending
CASE-2026-1179,Family,High Stakes,363,4,2025-03-30,531,High,Resolved
CASE-2026-1180,Family,Routine,690,3,2024-05-07,343,Medium,Pending
CASE-2026-1181,Commercial,Public Interest,457,3,2024-12-26,837,Medium,Pending
CASE-2026-1182,Civil,Financial,2735,3,2018-10-01,546,High,Resolved
CASE-2026-1183,Commercial,Routine,1773,5,2021-05-20,491,High,Pending
CASE-2026-1184,Civil,Personal,2516,3,2019-05-08,379,High,Pending
CASE-2026-1185,Family,Financial,1416,3,2022-05-12,391,Medium,Pending
CASE-2026-1186,Criminal,Public Interest,2143,5,2020-05-15,520,High,Pending
CASE-2026-1187,Family,Personal,1888,3,2021-01-25,303,Medium,Pending
CASE-2026-1188,Family,High Stakes,2303,5,2019-12-07,489,High,Pending
CASE-2026-1189,Family,Financial,2316,3,2019-11-24,344,Medium,Pending
CASE-2026-1190,Commercial,Public Interest,1812,2,2021-04-11,705,Medium,Pending
CASE-2026-1191,Criminal,High Stakes,1589,4,2021-11-20,626,High,Pending
CASE-2026-1192,Traffic,High Stakes,1044,3,2023-05-19,212,Medium,Resolved
CASE-2026-1193,Traffic,Public Interest,1606,4,2021-11-03,188,High,Pending
CASE-2026-1194,Family,High Stakes,2255,4,2020-01-24,440,High,Pending
CASE-2026-1195,Family,Routine,3636,5,2016-04-13,207,High,Pending
CASE-2026-1196,Civil,High Stakes,1308,2,2022-08-28,740,Medium,Pending
CASE-2026-1197,Traffic,Routine,3244,3,2017-05-10,30,High,Pending
CASE-2026-1198,Commercial,Personal,823,3,2023-12-26,576,Medium,Pending
CASE-2026-1199,Traffic,High Stakes,2162,5,2020-04-26,191,High,Resolved
CASE-2026-1200,Civil,Routine,337,4,2025-04-25,487,High,Resolved
CASE-2026-1201,Traffic,Personal,1102,1,2023-03-22,56,Medium,Resolved
CASE-2026-1202,Family,Financial,801,1,2024-01-17,308,Low,Pending
CASE-2026-1203,Traffic,Financial,190,2,2025-09-19,138,Medium,Pending
CASE-2026-1204,Civil,High Stakes,824,3,2023-12-25,731,Medium,Resolved
CASE-2026-1205,Criminal,Public Interest,739,3,2024-03-19,519,High,Resolved
CASE-2026-1206,Criminal,Financial,2600,3,2019-02-13,363,High,Pending
CASE-2026-1207,Traffic,Public Interest,1510,5,2022-02-07,158,High,Pending
CASE-2026-1208,Commercial,High Stakes,2048,5,2020-08-18,910,High,Pending
CASE-2026-1209,Commercial,Public Interest,2084,5,2020-07-13,773,High,Pending
CASE-2026-1210,Traffic,Personal,1298,5,2022-09-07,165,High,Pending
CASE-2026-1211,Criminal,Public Interest,3249,4,2017-05-05,389,High,Pending
CASE-2026-1212,Criminal,Public Interest,925,4,2023-09-15,527,High,Pending
CASE-2026-1213,Family,High Stakes,3176,4,2017-07-17,331,High,Resolved
CASE-2026-1214,Commercial,Personal,2946,5,2018-03-04,587,High,Pending
CASE-2026-1215,Civil,Public Interest,3575,4,2016-06-13,500,High,Pending
CASE-2026-1216,Commercial,Routine,94,2,2025-12-24,573,Medium,Pending
CASE-2026-1217,Commercial,Public Interest,2372,2,2019-09-29,637,Medium,Pending
CASE-2026-1218,Family,Public Interest,1507,3,2022-02-10,324,Medium,Pending
CASE-2026-1219,Civil,Financial,332,4,2025-04-30,614,High,Pending
CASE-2026-1220,Traffic,Financial,3035,5,2017-12-05,137,High,Resolved
CASE-2026-1221,Commercial,Public Interest,2439,4,2019-07-24,757,High,Resolved
CASE-2026-1222,Traffic,Routine,3000,2,2018-01-09,30,High,Pending
CASE-2026-1223,Family,Financial,1861,3,2021-02-21,370,Medium,Pending
CASE-2026-1224,Traffic,High Stakes,2735,5,2018-10-01,152,High,Pending
CASE-2026-1225,Criminal,High Stakes,1061,5,2023-05-02,675,High,Pending
CASE-2026-1226,Criminal,High Stakes,2275,5,2020-01-04,596,High,Pending
CASE-2026-1227,Family,Routine,2409,3,2019-08-23,164,Medium,Pending
CASE-2026-1228,Criminal,Routine,2943,4,2018-03-07,273,High,Resolved
CASE-2026-1229,Criminal,High Stakes,173,3,2025-10-06,645,High,Pending
CASE-2026-1230,Family,Routine,2626,2,2019-01-18,172,High,Pending
CASE-2026-1231,Civil,High Stakes,674,4,2024-05-23,825,High,Pending
CASE-2026-1232,Traffic,Routine,3032,5,2017-12-08,61,High,Pending
CASE-2026-1233,Criminal,Public Interest,1838,4,2021-03-16,490,High,Pending
CASE-2026-1234,Traffic,Public Interest,2476,4,2019-06-17,76,High,Pending
CASE-2026-1235,Family,Routine,1248,5,2022-10-27,312,High,Resolved
CASE-2026-1236,Commercial,High Stakes,1410,1,2022-05-18,802,Medium,Pending
CASE-2026-1237,Family,Public Interest,830,3,2023-12-19,414,Medium,Pending
CASE-2026-1238,Criminal,Public Interest,592,4,2024-08-13,523,High,Resolved
CASE-2026-1239,Family,Routine,314,3,2025-05-18,350,Medium,Pending
CASE-2026-1240,Civil,High Stakes,2256,5,2020-01-23,768,High,Resolved
CASE-2026-1241,Commercial,High Stakes,3313,5,2017-03-02,854,High,Pending
CASE-2026-1242,Traffic,Personal,2029,5,2020-09-06,130,High,Resolved
CASE-2026-1243,Traffic,Personal,1569,5,2021-12-10,144,High,Resolved
CASE-2026-1244,Commercial,Public Interest,2418,5,2019-08-14,725,High,Pending
CASE-2026-1245,Family,Personal,1109,2,2023-03-15,230,Medium,Pending
CASE-2026-1246,Family,Personal,1877,5,2021-02-05,311,High,Pending
CASE-2026-1247,Civil,Routine,581,3,2024-08-24,499,Medium,Pending
CASE-2026-1248,Commercial,Financial,2929,3,2018-03-21,601,High,Pending
CASE-2026-1249,Traffic,Financial,1955,4,2020-11-19,82,High,Pending
CASE-2026-1250,Criminal,Public Interest,432,5,2025-01-20,573,High,Resolved
CASE-2026-1251,Traffic,Public Interest,1600,4,2021-11-09,112,High,Resolved
CASE-2026-1252,Criminal,High Stakes,3539,4,2016-07-19,547,High,Pending
CASE-2026-1253,Family,Routine,1836,5,2021-03-18,276,High,Pending
CASE-2026-1254,Traffic,Personal,283,3,2025-06-18,114,Medium,Pending
CASE-2026-1255,Family,Public Interest,1583,3,2021-11-26,368,Medium,Resolved
CASE-2026-1256,Commercial,Public Interest,317,2,2025-05-15,762,Medium,Pending
CASE-2026-1257,Civil,Public Interest,802,5,2024-01-16,737,High,Resolved
CASE-2026-1258,Criminal,Public Interest,2347,4,2019-10-24,527,High,Pending
CASE-2026-1259,Traffic,Routine,1854,5,2021-02-28,159,High,Pending
CASE-2026-1260,Commercial,Personal,2930,3,2018-03-20,509,High,Resolved
CASE-2026-1261,Civil,Personal,3647,5,2016-04-02,384,High,Pending
CASE-2026-1262,Family,Public Interest,611,4,2024-07-25,477,High,Pending
CASE-2026-1263,Civil,Routine,2217,4,2020-03-02,409,High,Resolved
CASE-2026-1264,Family,High Stakes,590,2,2024-08-15,401,Medium,Pending
CASE-2026-1265,Commercial,Financial,2004,4,2020-10-01,728,High,Pending
CASE-2026-1266,Family,Public Interest,2524,2,2019-04-30,309,High,Pending
CASE-2026-1267,Traffic,Personal,75,2,2026-01-12,90,Medium,Pending
CASE-2026-1268,Traffic,Public Interest,337,4,2025-04-25,181,High,Pending
CASE-2026-1269,Traffic,Routine,2315,5,2019-11-25,114,High,Pending
CASE-2026-1270,Civil,Financial,965,4,2023-08-06,648,High,Pending
CASE-2026-1271,Family,Financial,870,4,2023-11-09,447,High,Pending
CASE-2026-1272,Commercial,High Stakes,2610,5,2019-02-03,874,High,Resolved
CASE-2026-1273,Commercial,Public Interest,2328,2,2019-11-12,633,Medium,Pending
CASE-2026-1274,Family,Personal,3174,4,2017-07-19,206,High,Pending
CASE-2026-1275,Commercial,Routine,1198,1,2022-12-16,494,Medium,Pending
CASE-2026-1276,Criminal,Personal,113,3,2025-12-05,468,High,Pending
CASE-2026-1277,Civil,Routine,537,1,2024-10-07,382,Low,Resolved
CASE-2026-1278,Civil,Personal,488,3,2024-11-25,479,Medium,Pending
CASE-2026-1279,Traffic,Personal,2121,3,2020-06-06,113,Medium,Pending
CASE-2026-1280,Civil,Public Interest,1422,5,2022-05-06,708,High,Pending
CASE-2026-1281,Family,High Stakes,2480,5,2019-06-13,430,High,Pending
CASE-2026-1282,Civil,Personal,2398,2,2019-09-03,395,Medium,Pending
CASE-2026-1283,Criminal,High Stakes,823,3,2023-12-26,648,High,Pending
CASE-2026-1284,Criminal,Personal,1878,4,2021-02-04,388,High,Resolved
CASE-2026-1285,Family,Financial,887,5,2023-10-23,432,High,Pending
CASE-2026-1286,Family,Financial,429,4,2025-01-23,393,High,Resolved
CASE-2026-1287,Traffic,Financial,1558,5,2021-12-21,216,High,Pending
CASE-2026-1288,Family,Financial,2726,3,2018-10-10,298,High,Resolved
CASE-2026-1289,Criminal,Public Interest,1792,4,2021-05-01,511,High,Pending
CASE-2026-1290,Traffic,Personal,1658,1,2021-09-12,30,Medium,Pending
CASE-2026-1291,Traffic,Personal,1468,3,2022-03-21,73,Medium,Pending
CASE-2026-1292,Commercial,Financial,388,1,2025-03-05,676,Low,Pending
CASE-2026-1293,Traffic,Personal,2491,4,2019-06-02,105,High,Pending
CASE-2026-1294,Commercial,Personal,1216,3,2022-11-28,547,Medium,Pending
CASE-2026-1295,Family,Public Interest,2802,5,2018-07-26,355,High,Pending
CASE-2026-1296,Family,Routine,2272,3,2020-01-07,185,Medium,Pending
CASE-2026-1297,Criminal,Routine,2424,4,2019-08-08,335,High,Pending
CASE-2026-1298,Family,Personal,3426,2,2016-11-09,112,High,Pending
CASE-2026-1299,Family,Routine,3175,5,2017-07-18,257,High,Resolved
CASE-2026-1300,Civil,Personal,2981,4,2018-01-28,425,High,Resolved
CASE-2026-1301,Commercial,High Stakes,3232,5,2017-05-22,843,High,Pending
CASE-2026-1302,Traffic,Personal,2662,3,2018-12-13,30,High,Pending
CASE-2026-1303,Commercial,Personal,470,5,2024-12-13,715,High,Pending
CASE-2026-1304,Family,Public Interest,1266,2,2022-10-09,311,Medium,Pending
CASE-2026-1305,Civil,Routine,1311,2,2022-08-25,385,Medium,Resolved
CASE-2026-1306,Commercial,Financial,2256,4,2020-01-23,625,High,Resolved
CASE-2026-1307,Commercial,Personal,3292,3,2017-03-23,469,High,Pending
CASE-2026-1308,Traffic,Financial,1756,2,2021-06-06,70,Medium,Pending
CASE-2026-1309,Family,Personal,1301,1,2022-09-04,264,Medium,Pending
CASE-2026-1310,Family,Routine,1312,1,2022-08-24,223,Medium,Pending
CASE-2026-1311,Traffic,Routine,3581,3,2016-06-07,30,High,Pending
CASE-2026-1312,Civil,Public Interest,2487,5,2019-06-06,670,High,Pending
CASE-2026-1313,Commercial,High Stakes,2185,4,2020-04-03,879,High,Pending
CASE-2026-1314,Commercial,Public Interest,2003,4,2020-10-02,770,High,Resolved
CASE-2026-1315,Family,Financial,1812,2,2021-04-11,272,Medium,Pending
CASE-2026-1316,Civil,Routine,478,1,2024-12-05,366,Low,Pending
CASE-2026-1317,Civil,High Stakes,3169,3,2017-07-24,611,High,Pending
CASE-2026-1318,Criminal,Personal,3192,5,2017-07-01,382,High,Pending
CASE-2026-1319,Traffic,Public Interest,808,4,2024-01-10,192,High,Resolved
CASE-2026-1320,Family,High Stakes,1409,3,2022-05-19,403,Medium,Pending
CASE-2026-1321,Traffic,Public Interest,930,1,2023-09-10,134,Low,Pending
CASE-2026-1322,Family,High Stakes,1175,4,2023-01-08,525,High,Pending
CASE-2026-1323,Traffic,High Stakes,187,2,2025-09-22,221,Medium,Pending
CASE-2026-1324,Family,High Stakes,3468,5,2016-09-28,371,High,Pending
CASE-2026-1325,Civil,Financial,2453,5,2019-07-10,541,High,Resolved
CASE-2026-1326,Criminal,Routine,666,4,2024-05-31,382,High,Pending
CASE-2026-1327,Traffic,Personal,3530,5,2016-07-28,68,High,Resolved
CASE-2026-1328,Traffic,Financial,2113,5,2020-06-14,134,High,Resolved
CASE-2026-1329,Traffic,Personal,2110,5,2020-06-17,129,High,Pending
CASE-2026-1330,Criminal,Personal,609,4,2024-07-27,457,High,Resolved
CASE-2026-1331,Criminal,Financial,1881,5,2021-02-01,535,High,Resolved
CASE-2026-1332,Commercial,Routine,1155,1,2023-01-28,403,Medium,Pending
CASE-2026-1333,Traffic,Public Interest,1221,1,2022-11-23,50,Medium,Resolved
CASE-2026-1334,Criminal,Personal,1949,5,2020-11-25,369,High,Pending
CASE-2026-1335,Family,High Stakes,2662,3,2018-12-13,333,High,Pending
CASE-2026-1336,Criminal,Routine,387,5,2025-03-06,465,High,Pending
CASE-2026-1337,Criminal,Financial,12,5,2026-03-16,550,High,Pending
CASE-2026-1338,Commercial,Public Interest,637,3,2024-06-29,733,Medium,Resolved
CASE-2026-1339,Family,High Stakes,901,1,2023-10-09,402,Low,Resolved
CASE-2026-1340,Civil,Financial,2138,5,2020-05-20,574,High,Pending
CASE-2026-1341,Civil,High Stakes,2612,5,2019-02-01,766,High,Pending
CASE-2026-1342,Traffic,Personal,1090,5,2023-04-03,161,High,Pending
CASE-2026-1343,Civil,High Stakes,2441,4,2019-07-22,745,High,Pending
CASE-2026-1344,Civil,Financial,3466,5,2016-09-30,544,High,Pending
CASE-2026-1345,Traffic,Financial,3644,5,2016-04-05,98,High,Resolved
CASE-2026-1346,Civil,Routine,41,2,2026-02-15,492,Medium,Pending
CASE-2026-1347,Commercial,Financial,2802,4,2018-07-26,626,High,Pending
CASE-2026-1348,Criminal,High Stakes,2603,3,2019-02-10,526,High,Pending
CASE-2026-1349,Traffic,High Stakes,3431,2,2016-11-04,30,High,Pending
